Library Name,Library Version
core,7.28.3
preset-env,7.28.3
mongodb-downloader,0.4.2
eslint-plugin,8.43.0
parser,8.43.0
acquit-ignore,0.2.1
acquit-require,0.1.1
acquit,1.4.0
ajv,8.17.1
assert-browserify,2.0.0
babel-loader,8.2.5
broken-link-checker,0.7.8
bson,6.10.4
buffer,5.7.1
cheerio,1.1.2
parse5,7.3.0
entities,6.0.1
crypto-browserify,3.12.1
dox,1.0.0
commander,9.4.0
eslint-plugin-markdown,5.1.0
eslint-plugin-mocha-no-only,1.2.0
eslint,8.57.1
ajv,6.12.6
chalk,4.1.2
escape-string-regexp,4.0.0
ignore,5.3.2
minimatch,3.1.2
strip-ansi,6.0.1
json-schema-traverse,0.4.1
ansi-styles,4.3.0
supports-color,7.2.0
brace-expansion,1.1.12
ansi-regex,5.0.1
express,4.21.2
debug,2.6.9
ms,2.0.0
fs-extra,11.3.1
highlight.js,11.11.1
kareem,2.6.3
lodash.isequal,4.5.0
lodash.isequalwith,4.4.0
markdownlint-cli2,0.18.1
markdown-it,14.1.0
linkify-it,5.0.0
mdurl,2.0.0
uc.micro,2.1.0
marked,15.0.12
mkdirp,3.0.1
mocha,11.7.2
supports-color,8.1.1
moment,2.30.1
mongodb-memory-server,10.2.0
mongodb-runner,5.9.2
mongodb,6.18.0
mpath,0.9.0
mquery,5.0.0
ms,2.1.3
ncp,2.0.0
nyc,15.1.0
convert-source-map,1.9.0
find-up,4.1.0
foreground-child,2.0.0
glob,7.2.3
resolve-from,5.0.0
signal-exit,3.0.7
yargs,15.4.1
locate-path,5.0.0
cliui,6.0.0
string-width,4.2.3
y18n,4.0.3
yargs-parser,18.1.3
p-locate,4.1.0
wrap-ansi,6.2.0
emoji-regex,8.0.0
camelcase,5.3.1
p-limit,2.3.0
pug,3.0.3
q,1.5.1
sift,17.1.3
sinon,21.0.0
stream-browserify,3.0.0
readable-stream,3.6.2
tsd,0.33.0
globby,11.1.0
slash,3.0.0
typescript,5.9.2
uuid,11.1.0
webpack,5.101.3
eslint-scope,5.1.1
schema-utils,4.3.2
estraverse,4.3.0
remapping,2.3.0
code-frame,7.27.1
generator,7.28.3
helper-compilation-targets,7.27.2
helper-module-transforms,7.28.3
helpers,7.28.4
parser,7.28.4
template,7.27.2
traverse,7.28.4
types,7.28.4
convert-source-map,2.0.0
debug,4.4.1
gensync,1.0.0-beta.2
json5,2.2.3
semver,6.3.1
compat-data,7.28.4
helper-plugin-utils,7.27.1
helper-validator-option,7.27.1
plugin-bugfix-firefox-class-in-computed-class-key,7.27.1
plugin-bugfix-safari-class-field-initializer-scope,7.27.1
plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.27.1
plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.27.1
plugin-bugfix-v8-static-class-fields-redefine-readonly,7.28.3
plugin-proposal-private-property-in-object,7.21.0-placeholder-for-preset-env.2
plugin-syntax-import-assertions,7.27.1
plugin-syntax-import-attributes,7.27.1
plugin-syntax-unicode-sets-regex,7.18.6
plugin-transform-arrow-functions,7.27.1
plugin-transform-async-generator-functions,7.28.0
plugin-transform-async-to-generator,7.27.1
plugin-transform-block-scoped-functions,7.27.1
plugin-transform-block-scoping,7.28.4
plugin-transform-class-properties,7.27.1
plugin-transform-class-static-block,7.28.3
plugin-transform-classes,7.28.4
plugin-transform-computed-properties,7.27.1
plugin-transform-destructuring,7.28.0
plugin-transform-dotall-regex,7.27.1
plugin-transform-duplicate-keys,7.27.1
plugin-transform-duplicate-named-capturing-groups-regex,7.27.1
plugin-transform-dynamic-import,7.27.1
plugin-transform-explicit-resource-management,7.28.0
plugin-transform-exponentiation-operator,7.27.1
plugin-transform-export-namespace-from,7.27.1
plugin-transform-for-of,7.27.1
plugin-transform-function-name,7.27.1
plugin-transform-json-strings,7.27.1
plugin-transform-literals,7.27.1
plugin-transform-logical-assignment-operators,7.27.1
plugin-transform-member-expression-literals,7.27.1
plugin-transform-modules-amd,7.27.1
plugin-transform-modules-commonjs,7.27.1
plugin-transform-modules-systemjs,7.27.1
plugin-transform-modules-umd,7.27.1
plugin-transform-named-capturing-groups-regex,7.27.1
plugin-transform-new-target,7.27.1
plugin-transform-nullish-coalescing-operator,7.27.1
plugin-transform-numeric-separator,7.27.1
plugin-transform-object-rest-spread,7.28.4
plugin-transform-object-super,7.27.1
plugin-transform-optional-catch-binding,7.27.1
plugin-transform-optional-chaining,7.27.1
plugin-transform-parameters,7.27.7
plugin-transform-private-methods,7.27.1
plugin-transform-private-property-in-object,7.27.1
plugin-transform-property-literals,7.27.1
plugin-transform-regenerator,7.28.4
plugin-transform-regexp-modifiers,7.27.1
plugin-transform-reserved-words,7.27.1
plugin-transform-shorthand-properties,7.27.1
plugin-transform-spread,7.27.1
plugin-transform-sticky-regex,7.27.1
plugin-transform-template-literals,7.27.1
plugin-transform-typeof-symbol,7.27.1
plugin-transform-unicode-escapes,7.27.1
plugin-transform-unicode-property-regex,7.27.1
plugin-transform-unicode-regex,7.27.1
plugin-transform-unicode-sets-regex,7.27.1
preset-modules,0.1.6-no-external-plugins
babel-plugin-polyfill-corejs2,0.4.14
babel-plugin-polyfill-corejs3,0.13.0
babel-plugin-polyfill-regenerator,0.6.5
core-js-compat,3.45.1
decompress,4.2.1
make-dir,1.3.0
pify,3.0.0
mongodb-download-url,1.6.2
semver,7.7.2
node-fetch,2.7.0
whatwg-url,5.0.0
tr46,0.0.3
webidl-conversions,3.0.1
tar,6.2.1
minipass,5.0.0
mkdirp,1.0.4
yallist,4.0.0
regexpp,4.12.1
scope-manager,8.43.0
type-utils,8.43.0
utils,8.43.0
visitor-keys,8.43.0
eslint-visitor-keys,4.2.1
graphemer,1.4.0
ignore,7.0.5
natural-compare,1.4.0
ts-api-utils,2.1.0
types,8.43.0
typescript-estree,8.43.0
archetype,0.13.0
mpath,0.8.4
commander,2.15.1
espree,9.6.1
fast-deep-equal,3.1.3
fast-uri,3.1.0
json-schema-traverse,1.0.0
require-from-string,2.0.2
es6-object-assign,1.1.0
is-nan,1.3.2
object-is,1.1.6
util,0.12.5
find-cache-dir,3.3.2
loader-utils,2.0.4
make-dir,3.1.0
schema-utils,2.7.1
ajv-keywords,3.5.2
bhttp,1.2.8
extend,2.0.2
calmcard,0.1.1
chalk,1.1.3
char-spinner,1.0.1
condense-whitespace,1.0.0
default-user-agent,1.0.0
errno,0.1.8
extend,3.0.2
http-equiv-refresh,1.0.0
humanize-duration,3.33.0
is-stream,1.1.0
is-string,1.1.1
limited-request-queue,2.0.0
link-types,1.1.0
maybe-callback,2.1.0
nopter,0.3.0
camelcase,1.2.1
chalk,0.5.1
object-assign,2.1.1
ansi-styles,1.1.0
has-ansi,0.1.0
strip-ansi,0.3.0
supports-color,0.2.0
ansi-regex,0.2.1
parse5,3.0.3
robot-directives,0.3.0
robots-txt-guard,0.1.1
robots-txt-parse,0.0.4
urlcache,0.7.0
urlobj,0.0.11
base64-js,1.5.1
ieee754,1.2.1
cheerio-select,2.1.0
dom-serializer,2.0.0
domhandler,5.0.3
domutils,3.2.2
encoding-sniffer,0.2.1
htmlparser2,10.0.0
parse5-htmlparser2-tree-adapter,7.1.0
parse5-parser-stream,7.1.2
undici,7.15.0
whatwg-mimetype,4.0.0
browserify-cipher,1.0.1
browserify-sign,4.2.3
create-ecdh,4.0.4
bn.js,4.12.2
create-hash,1.2.0
create-hmac,1.1.7
diffie-hellman,5.0.3
hash-base,3.0.5
inherits,2.0.4
pbkdf2,3.1.3
create-hash,1.1.3
ripemd160,2.0.1
hash-base,2.0.2
public-encrypt,4.0.3
randombytes,2.1.0
randomfill,1.0.4
jsdoctypeparser,9.0.0
markdown-it,13.0.1
entities,3.0.1
mdast-util-from-markdown,0.8.5
micromark,2.11.4
requireindex,1.1.0
eslint-utils,4.9.0
eslintrc,2.1.4
js,8.57.1
config-array,0.13.0
module-importer,1.0.1
fs.walk,1.2.8
structured-clone,1.3.0
cross-spawn,7.0.6
doctrine,3.0.0
eslint-scope,7.2.2
eslint-visitor-keys,3.4.3
esquery,1.6.0
esutils,2.0.3
file-entry-cache,6.0.1
find-up,5.0.0
glob-parent,6.0.2
globals,13.24.0
imurmurhash,0.1.4
is-glob,4.0.3
is-path-inside,3.0.3
js-yaml,4.1.0
json-stable-stringify-without-jsonify,1.0.1
levn,0.4.1
lodash.merge,4.6.2
optionator,0.9.4
text-table,0.2.0
accepts,1.3.8
array-flatten,1.1.1
body-parser,1.20.3
iconv-lite,0.4.24
content-disposition,0.5.4
content-type,1.0.5
cookie-signature,1.0.6
cookie,0.7.1
depd,2.0.0
encodeurl,2.0.0
escape-html,1.0.3
etag,1.8.1
finalhandler,1.3.1
fresh,0.5.2
