Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
axios,4.0.1,Kamil Mysliwiec,MIT,cli,19.8.1,library,Mario Nebl,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,tinyexec,1.0.1,library,James Garbutt,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,config-angular,19.8.1,library,Mario Nebl,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,eslintrc,3.3.1,library,Nicholas C. Zakas,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,globals,14.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,js-yaml,4.1.0,library,Vladimir Zapparov,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,argparse,2.0.1,library,NA,Python-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,js,9.35.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,common,11.1.6,library,Kamil Mysliwiec,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,core,11.1.6,library,Kamil Mysliwiec,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,platform-express,11.1.6,library,Kamil Mysliwiec,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,testing,11.1.6,library,Kamil Mysliwiec,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,jest,30.0.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,node,22.18.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,axios,1.11.0,library,Matt Zabriskie,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,eslint-config-prettier,10.1.8,library,Simon Lydell,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,eslint-plugin-prettier,5.5.4,library,Teddy Katz,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,eslint,9.35.0,library,Nicholas C. Zakas,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,retry,0.4.3,library,Nicholas C. Zaks,Apache-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,eslint-visitor-keys,4.2.1,library,Toru Nagashima,Apache-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,find-up,5.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,glob-parent,6.0.2,library,Gulp Team,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,locate-path,6.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,p-locate,5.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,p-limit,3.1.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,globals,16.3.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,husky,9.1.7,library,typicode,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,jest,30.1.3,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,lint-staged,16.1.6,library,Andrey Okonetchnikov,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,chalk,5.6.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,prettier,3.6.2,library,James Long,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,reflect-metadata,0.2.2,library,Ron Buckton,Apache-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,release-it,19.0.4,library,Lars Kappert,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mime-types,3.0.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mime-db,1.54.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,rimraf,6.0.1,library,Isaac Z. Schlueter,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,glob,11.0.0,library,Isaac Z. Schlueter,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,minimatch,10.0.1,library,Isaac Z. Schlueter,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,brace-expansion,2.0.1,library,Julian Gruber,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,rxjs,7.8.2,library,Ben Lesh,Apache-2.0
