Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
bcrypt,6.0.0,Nick Campbell,MIT,jest,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,node-addon-api,8.3.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,node-gyp-build,4.8.4,library,Mathias Buus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,prebuildify,6.0.1,library,Mathias Buus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,npm-run-path,3.1.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,core,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,types,29.6.3,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,import-local,3.2.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-cli,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,minimist,1.2.8,library,James Halliday,MIT
bcrypt,6.0.0,Nick Campbell,MIT,mkdirp-classic,0.5.3,library,Mathias Buus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,node-abi,3.74.0,library,Lukas Geiger,MIT
bcrypt,6.0.0,Nick Campbell,MIT,semver,7.7.1,library,GitHub Inc.,ISC
bcrypt,6.0.0,Nick Campbell,MIT,pump,3.0.2,library,Mathias Buus Madsen,MIT
bcrypt,6.0.0,Nick Campbell,MIT,tar-fs,2.1.2,library,Mathias Buus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,console,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,reporters,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,test-result,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,transform,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,node,22.13.1,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,ansi-escapes,4.3.2,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,chalk,4.1.2,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,ci-info,3.9.0,library,Thomas Watson Steen,MIT
bcrypt,6.0.0,Nick Campbell,MIT,exit,0.1.2,library,"""Cowboy"" Ben Alman",MIT
bcrypt,6.0.0,Nick Campbell,MIT,graceful-fs,4.2.11,library,NA,ISC
bcrypt,6.0.0,Nick Campbell,MIT,jest-changed-files,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-config,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-haste-map,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-message-util,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-regex-util,29.6.3,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-resolve-dependencies,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-resolve,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-runner,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-runtime,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-snapshot,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,semver,7.7.1,library,GitHub Inc.,ISC
bcrypt,6.0.0,Nick Campbell,MIT,jest-util,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-validate,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,camelcase,6.3.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-watcher,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,micromatch,4.0.8,library,Jon Schlinkert,MIT
bcrypt,6.0.0,Nick Campbell,MIT,pretty-format,29.7.0,library,James Kyle,MIT
bcrypt,6.0.0,Nick Campbell,MIT,ansi-styles,5.2.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,slash,3.0.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,strip-ansi,6.0.1,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,schemas,29.6.3,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-lib-coverage,2.0.6,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-reports,3.0.4,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,yargs,17.0.33,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,pkg-dir,4.2.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,resolve-cwd,3.0.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,create-jest,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,yargs,17.7.2,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,path-key,3.1.1,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,end-of-stream,1.4.4,library,Mathias Buus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,once,1.4.0,library,Isaac Z. Schlueter,ISC
bcrypt,6.0.0,Nick Campbell,MIT,chownr,1.1.4,library,Isaac Z. Schlueter,ISC
bcrypt,6.0.0,Nick Campbell,MIT,tar-stream,2.2.0,library,Mathias Buus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,v8-coverage,0.2.3,library,Charles Samborski,MIT
bcrypt,6.0.0,Nick Campbell,MIT,trace-mapping,0.3.25,library,Justin Ridgewell,MIT
bcrypt,6.0.0,Nick Campbell,MIT,collect-v8-coverage,1.0.2,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,glob,7.2.3,library,Isaac Z. Schlueter,ISC
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-lib-coverage,3.2.2,library,Krishnan Anantheswaran,BSD-3-Clause
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-lib-instrument,6.0.3,library,Krishnan Anantheswaran,BSD-3-Clause
bcrypt,6.0.0,Nick Campbell,MIT,semver,7.7.1,library,GitHub Inc.,ISC
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-lib-report,3.0.1,library,Krishnan Anantheswaran,BSD-3-Clause
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-lib-source-maps,4.0.1,library,Krishnan Anantheswaran,BSD-3-Clause
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-reports,3.1.7,library,Krishnan Anantheswaran,BSD-3-Clause
bcrypt,6.0.0,Nick Campbell,MIT,jest-worker,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,supports-color,8.1.1,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,string-length,4.0.2,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,v8-to-istanbul,9.3.0,library,Ben Coe,ISC
bcrypt,6.0.0,Nick Campbell,MIT,core,7.26.7,library,The Babel Team,MIT
bcrypt,6.0.0,Nick Campbell,MIT,babel-plugin-istanbul,6.1.1,library,Thai Pangsakulyanont @dtinth,BSD-3-Clause
