Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
dotenv,17.2.2,NA,BSD-2-Clause,node,18.11.3,library,NA,MIT
dotenv,17.2.2,NA,BSD-2-Clause,decache,4.6.2,library,https://github.com/dwyl/decache/graphs/contributors,MIT
dotenv,17.2.2,NA,BSD-2-Clause,sinon,14.0.1,library,Christian Johansen,BSD-3-Clause
dotenv,17.2.2,NA,BSD-2-Clause,standard-version,9.5.0,library,Ben Coe,ISC
dotenv,17.2.2,NA,BSD-2-Clause,chalk,2.4.2,library,NA,MIT
dotenv,17.2.2,NA,BSD-2-Clause,semver,7.6.3,library,GitHub Inc.,ISC
dotenv,17.2.2,NA,BSD-2-Clause,yargs,16.2.0,library,NA,MIT
dotenv,17.2.2,NA,BSD-2-Clause,ansi-styles,3.2.1,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,escape-string-regexp,1.0.5,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,supports-color,5.5.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,string-width,4.2.3,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,y18n,5.0.8,library,Ben Coe,ISC
dotenv,17.2.2,NA,BSD-2-Clause,color-convert,1.9.3,library,Heather Arthur,MIT
dotenv,17.2.2,NA,BSD-2-Clause,has-flag,3.0.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,is-fullwidth-code-point,3.0.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,color-name,1.1.3,library,DY,MIT
dotenv,17.2.2,NA,BSD-2-Clause,standard,17.0.0,library,Feross Aboukhadijeh,MIT
dotenv,17.2.2,NA,BSD-2-Clause,tap,19.2.5,library,Isaac Z. Schlueter,BlueOak-1.0.0
dotenv,17.2.2,NA,BSD-2-Clause,typescript,4.8.4,library,Microsoft Corp.,Apache-2.0
dotenv,17.2.2,NA,BSD-2-Clause,callsite,1.0.0,library,TJ Holowaychuk,NA
dotenv,17.2.2,NA,BSD-2-Clause,commons,1.8.3,library,NA,BSD-3-Clause
dotenv,17.2.2,NA,BSD-2-Clause,fake-timers,9.1.2,library,Christian Johansen,BSD-3-Clause
dotenv,17.2.2,NA,BSD-2-Clause,samsam,6.1.1,library,Christian Johansen,BSD-3-Clause
dotenv,17.2.2,NA,BSD-2-Clause,diff,5.2.0,library,NA,BSD-3-Clause
dotenv,17.2.2,NA,BSD-2-Clause,nise,5.1.1,library,NA,BSD-3-Clause
dotenv,17.2.2,NA,BSD-2-Clause,supports-color,7.2.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,conventional-changelog-config-spec,2.1.0,library,NA,MIT
dotenv,17.2.2,NA,BSD-2-Clause,conventional-changelog-conventionalcommits,4.6.3,library,Ben Coe,ISC
dotenv,17.2.2,NA,BSD-2-Clause,conventional-changelog,3.1.25,library,NA,MIT
dotenv,17.2.2,NA,BSD-2-Clause,conventional-recommended-bump,6.1.0,library,Steve Mao,MIT
dotenv,17.2.2,NA,BSD-2-Clause,detect-indent,6.1.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,detect-newline,3.1.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,dotgitignore,2.1.0,library,Ben Coe,ISC
dotenv,17.2.2,NA,BSD-2-Clause,find-up,3.0.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,locate-path,3.0.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,p-locate,3.0.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,path-exists,3.0.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,p-limit,2.3.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,figures,3.2.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,escape-string-regexp,1.0.5,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,find-up,5.0.0,library,Sindre Sorhus,MIT
dotenv,17.2.2,NA,BSD-2-Clause,git-semver-tags,4.1.1,library,Steve Mao,MIT
dotenv,17.2.2,NA,BSD-2-Clause,stringify-package,1.0.1,library,Kat Marchán,ISC
dotenv,17.2.2,NA,BSD-2-Clause,eslint-config-standard-jsx,11.0.0,library,Feross Aboukhadijeh,MIT
dotenv,17.2.2,NA,BSD-2-Clause,eslint-config-standard,17.0.0,library,Feross Aboukhadijeh,MIT
dotenv,17.2.2,NA,BSD-2-Clause,eslint-plugin-import,2.26.0,library,Ben Mosher,MIT
dotenv,17.2.2,NA,BSD-2-Clause,debug,2.6.9,library,TJ Holowaychuk,MIT
dotenv,17.2.2,NA,BSD-2-Clause,doctrine,2.1.0,library,NA,Apache-2.0
dotenv,17.2.2,NA,BSD-2-Clause,ms,2.0.0,library,NA,MIT
