Library,Current Version,Latest Version,Status
core,7.28.3,1.0.113,Current version is newer than npm (1.0.113)
preset-env,7.28.3,,Not Found
mongodb-downloader,0.4.2,,Not Found
eslint-plugin,8.43.0,1.0.1,Current version is newer than npm (1.0.1)
parser,8.43.0,0.1.4,Current version is newer than npm (0.1.4)
acquit-ignore,0.2.1,0.2.1,Up-to-date
acquit-require,0.1.1,0.1.1,Up-to-date
acquit,1.4.0,1.4.0,Up-to-date
ajv,8.17.1,8.17.1,Up-to-date
assert-browserify,2.0.0,2.0.0,Up-to-date
babel-loader,8.2.5,10.0.0,Update available (10.0.0)
broken-link-checker,0.7.8,0.7.8,Up-to-date
bson,6.10.4,6.10.4,Up-to-date
buffer,5.7.1,6.0.3,Update available (6.0.3)
cheerio,1.1.2,1.1.2,Up-to-date
parse5,7.3.0,8.0.0,Update available (8.0.0)
entities,6.0.1,7.0.0,Update available (7.0.0)
crypto-browserify,3.12.1,3.12.1,Up-to-date
dox,1.0.0,1.0.0,Up-to-date
commander,9.4.0,14.0.0,Update available (14.0.0)
eslint-plugin-markdown,5.1.0,5.1.0,Up-to-date
eslint-plugin-mocha-no-only,1.2.0,1.2.0,Up-to-date
eslint,8.57.1,9.35.0,Update available (9.35.0)
ajv,6.12.6,8.17.1,Update available (8.17.1)
chalk,4.1.2,5.6.2,Update available (5.6.2)
escape-string-regexp,4.0.0,5.0.0,Update available (5.0.0)
ignore,5.3.2,7.0.5,Update available (7.0.5)
minimatch,3.1.2,10.0.3,Update available (10.0.3)
strip-ansi,6.0.1,7.1.2,Update available (7.1.2)
json-schema-traverse,0.4.1,1.0.0,Update available (1.0.0)
ansi-styles,4.3.0,6.2.3,Update available (6.2.3)
supports-color,7.2.0,10.2.2,Update available (10.2.2)
brace-expansion,1.1.12,4.0.1,Update available (4.0.1)
ansi-regex,5.0.1,6.2.2,Update available (6.2.2)
express,4.21.2,5.1.0,Update available (5.1.0)
debug,2.6.9,4.4.1,Update available (4.4.1)
ms,2.0.0,2.1.3,Update available (2.1.3)
fs-extra,11.3.1,11.3.1,Up-to-date
highlight.js,11.11.1,11.11.1,Up-to-date
kareem,2.6.3,2.6.3,Up-to-date
lodash.isequal,4.5.0,4.5.0,Up-to-date
lodash.isequalwith,4.4.0,4.4.0,Up-to-date
markdownlint-cli2,0.18.1,0.18.1,Up-to-date
markdown-it,14.1.0,14.1.0,Up-to-date
linkify-it,5.0.0,5.0.0,Up-to-date
mdurl,2.0.0,2.0.0,Up-to-date
uc.micro,2.1.0,2.1.0,Up-to-date
marked,15.0.12,16.2.1,Update available (16.2.1)
mkdirp,3.0.1,3.0.1,Up-to-date
mocha,11.7.2,11.7.2,Up-to-date
supports-color,8.1.1,10.2.2,Update available (10.2.2)
moment,2.30.1,2.30.1,Up-to-date
mongodb-memory-server,10.2.0,10.2.0,Up-to-date
mongodb-runner,5.9.2,5.9.2,Up-to-date
mongodb,6.18.0,6.19.0,Update available (6.19.0)
mpath,0.9.0,0.9.0,Up-to-date
mquery,5.0.0,5.0.0,Up-to-date
ms,2.1.3,2.1.3,Up-to-date
ncp,2.0.0,2.0.0,Up-to-date
nyc,15.1.0,17.1.0,Update available (17.1.0)
convert-source-map,1.9.0,2.0.0,Update available (2.0.0)
find-up,4.1.0,7.0.0,Update available (7.0.0)
foreground-child,2.0.0,3.3.1,Update available (3.3.1)
glob,7.2.3,11.0.3,Update available (11.0.3)
resolve-from,5.0.0,5.0.0,Up-to-date
signal-exit,3.0.7,4.1.0,Update available (4.1.0)
yargs,15.4.1,18.0.0,Update available (18.0.0)
locate-path,5.0.0,7.2.0,Update available (7.2.0)
cliui,6.0.0,9.0.1,Update available (9.0.1)
string-width,4.2.3,8.1.0,Update available (8.1.0)
y18n,4.0.3,5.0.8,Update available (5.0.8)
yargs-parser,18.1.3,22.0.0,Update available (22.0.0)
p-locate,4.1.0,6.0.0,Update available (6.0.0)
wrap-ansi,6.2.0,9.0.2,Update available (9.0.2)
emoji-regex,8.0.0,10.5.0,Update available (10.5.0)
camelcase,5.3.1,8.0.0,Update available (8.0.0)
p-limit,2.3.0,7.1.1,Update available (7.1.1)
pug,3.0.3,3.0.3,Up-to-date
q,1.5.1,1.5.1,Up-to-date
sift,17.1.3,17.1.3,Up-to-date
sinon,21.0.0,21.0.0,Up-to-date
stream-browserify,3.0.0,3.0.0,Up-to-date
readable-stream,3.6.2,4.7.0,Update available (4.7.0)
tsd,0.33.0,0.33.0,Up-to-date
globby,11.1.0,14.1.0,Update available (14.1.0)
slash,3.0.0,5.1.0,Update available (5.1.0)
typescript,5.9.2,5.9.2,Up-to-date
uuid,11.1.0,13.0.0,Update available (13.0.0)
webpack,5.101.3,5.101.3,Up-to-date
eslint-scope,5.1.1,8.4.0,Update available (8.4.0)
schema-utils,4.3.2,4.3.2,Up-to-date
estraverse,4.3.0,5.3.0,Update available (5.3.0)
remapping,2.3.0,,Not Found
code-frame,7.27.1,5.0.0,Current version is newer than npm (5.0.0)
generator,7.28.3,1.0.1,Current version is newer than npm (1.0.1)
helper-compilation-targets,7.27.2,0.0.1-security,Current version is newer than npm (0.0.1-security)
helper-module-transforms,7.28.3,,Not Found
helpers,7.28.4,0.0.6,Current version is newer than npm (0.0.6)
parser,7.28.4,0.1.4,Current version is newer than npm (0.1.4)
template,7.27.2,0.17.5,Current version is newer than npm (0.17.5)
traverse,7.28.4,0.6.11,Current version is newer than npm (0.6.11)
types,7.28.4,0.1.1,Current version is newer than npm (0.1.1)
convert-source-map,2.0.0,2.0.0,Up-to-date
debug,4.4.1,4.4.1,Up-to-date
gensync,1.0.0-beta.2,1.0.0-beta.2,Up-to-date
json5,2.2.3,2.2.3,Up-to-date
semver,6.3.1,7.7.2,Update available (7.7.2)
compat-data,7.28.4,0.0.1-security,Current version is newer than npm (0.0.1-security)
helper-plugin-utils,7.27.1,0.0.1-security,Current version is newer than npm (0.0.1-security)
helper-validator-option,7.27.1,,Not Found
plugin-bugfix-firefox-class-in-computed-class-key,7.27.1,,Not Found
plugin-bugfix-safari-class-field-initializer-scope,7.27.1,,Not Found
plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.27.1,,Not Found
plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.27.1,0.0.1-security,Current version is newer than npm (0.0.1-security)
plugin-bugfix-v8-static-class-fields-redefine-readonly,7.28.3,,Not Found
plugin-proposal-private-property-in-object,7.21.0-placeholder-for-preset-env.2,,Not Found
plugin-syntax-import-assertions,7.27.1,,Not Found
plugin-syntax-import-attributes,7.27.1,,Not Found
plugin-syntax-unicode-sets-regex,7.18.6,,Not Found
plugin-transform-arrow-functions,7.27.1,,Not Found
plugin-transform-async-generator-functions,7.28.0,,Not Found
plugin-transform-async-to-generator,7.27.1,,Not Found
plugin-transform-block-scoped-functions,7.27.1,,Not Found
plugin-transform-block-scoping,7.28.4,,Not Found
plugin-transform-class-properties,7.27.1,,Not Found
plugin-transform-class-static-block,7.28.3,,Not Found
plugin-transform-classes,7.28.4,,Not Found
plugin-transform-computed-properties,7.27.1,,Not Found
plugin-transform-destructuring,7.28.0,,Not Found
plugin-transform-dotall-regex,7.27.1,,Not Found
plugin-transform-duplicate-keys,7.27.1,,Not Found
plugin-transform-duplicate-named-capturing-groups-regex,7.27.1,,Not Found
plugin-transform-dynamic-import,7.27.1,,Not Found
plugin-transform-explicit-resource-management,7.28.0,,Not Found
plugin-transform-exponentiation-operator,7.27.1,,Not Found
plugin-transform-export-namespace-from,7.27.1,,Not Found
plugin-transform-for-of,7.27.1,,Not Found
plugin-transform-function-name,7.27.1,,Not Found
plugin-transform-json-strings,7.27.1,,Not Found
plugin-transform-literals,7.27.1,,Not Found
plugin-transform-logical-assignment-operators,7.27.1,,Not Found
plugin-transform-member-expression-literals,7.27.1,,Not Found
plugin-transform-modules-amd,7.27.1,,Not Found
plugin-transform-modules-commonjs,7.27.1,,Not Found
plugin-transform-modules-systemjs,7.27.1,,Not Found
plugin-transform-modules-umd,7.27.1,,Not Found
plugin-transform-named-capturing-groups-regex,7.27.1,,Not Found
plugin-transform-new-target,7.27.1,,Not Found
plugin-transform-nullish-coalescing-operator,7.27.1,,Not Found
plugin-transform-numeric-separator,7.27.1,,Not Found
plugin-transform-object-rest-spread,7.28.4,,Not Found
plugin-transform-object-super,7.27.1,,Not Found
plugin-transform-optional-catch-binding,7.27.1,,Not Found
plugin-transform-optional-chaining,7.27.1,,Not Found
plugin-transform-parameters,7.27.7,,Not Found
plugin-transform-private-methods,7.27.1,,Not Found
plugin-transform-private-property-in-object,7.27.1,,Not Found
plugin-transform-property-literals,7.27.1,,Not Found
plugin-transform-regenerator,7.28.4,,Not Found
plugin-transform-regexp-modifiers,7.27.1,,Not Found
plugin-transform-reserved-words,7.27.1,,Not Found
plugin-transform-shorthand-properties,7.27.1,,Not Found
plugin-transform-spread,7.27.1,,Not Found
plugin-transform-sticky-regex,7.27.1,,Not Found
