Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
chalk,5.6.2,NA,MIT,node,16.18.126,library,NA,MIT
chalk,5.6.2,NA,MIT,ava,3.15.0,library,NA,MIT
chalk,5.6.2,NA,MIT,c8,7.14.0,library,Ben Coe,ISC
chalk,5.6.2,NA,MIT,color-convert,2.0.1,library,Heather Arthur,MIT
chalk,5.6.2,NA,MIT,execa,6.1.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,log-update,5.0.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,cli-cursor,4.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,slice-ansi,5.0.0,library,NA,MIT
chalk,5.6.2,NA,MIT,strip-ansi,7.1.2,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,restore-cursor,4.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,ansi-styles,6.2.3,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,is-fullwidth-code-point,4.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,ansi-regex,6.2.2,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,onetime,5.1.2,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,mimic-fn,2.1.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,matcha,0.7.0,library,Jake Luer,NA
chalk,5.6.2,NA,MIT,tsd,0.19.1,library,Sam Verschueren,MIT
chalk,5.6.2,NA,MIT,xo,0.57.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,arrify,3.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,eslint-formatter-pretty,6.0.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,eslint,8.56.12,library,NA,MIT
chalk,5.6.2,NA,MIT,eslint-plugin-prettier,5.5.4,library,Teddy Katz,MIT
chalk,5.6.2,NA,MIT,globby,14.1.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,meow,13.2.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,slash,5.1.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,ansi-escapes,6.2.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,chalk,5.6.2,library,NA,MIT
chalk,5.6.2,NA,MIT,log-symbols,6.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,plur,5.1.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,string-width,7.2.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,supports-hyperlinks,3.2.0,library,NA,MIT
chalk,5.6.2,NA,MIT,eslint,9.6.1,library,NA,MIT
chalk,5.6.2,NA,MIT,ignore,7.0.5,library,kael,MIT
chalk,5.6.2,NA,MIT,path-type,6.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,is-unicode-supported,1.3.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,emoji-regex,10.5.0,library,Mathias Bynens,MIT
chalk,5.6.2,NA,MIT,strip-ansi,7.1.2,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,ansi-regex,6.2.2,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,yoctodelay,2.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,react,2.0.0,library,Mark Wubben,ISC
chalk,5.6.2,NA,MIT,arrify,1.0.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,acorn-walk,8.3.4,library,NA,MIT
chalk,5.6.2,NA,MIT,acorn,8.15.0,library,NA,MIT
chalk,5.6.2,NA,MIT,ansi-styles,5.2.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,arrgv,1.0.2,library,astur,MIT
chalk,5.6.2,NA,MIT,arrify,2.0.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,callsites,3.1.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,chalk,4.1.2,library,NA,MIT
chalk,5.6.2,NA,MIT,ansi-styles,4.3.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,chokidar,3.6.0,library,Paul Miller,MIT
chalk,5.6.2,NA,MIT,chunkd,2.0.1,library,Jamie Kyle,MIT
chalk,5.6.2,NA,MIT,ci-info,2.0.0,library,Thomas Watson Steen,MIT
chalk,5.6.2,NA,MIT,ci-parallel-vars,1.0.1,library,Jamie Kyle,MIT
chalk,5.6.2,NA,MIT,clean-yaml-object,0.1.0,library,James Talmage,MIT
chalk,5.6.2,NA,MIT,cli-cursor,3.1.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,cli-truncate,2.1.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,code-excerpt,3.0.0,library,vdemedes,MIT
chalk,5.6.2,NA,MIT,common-path-prefix,3.0.0,library,Mark Wubben,ISC
chalk,5.6.2,NA,MIT,concordance,5.0.4,library,Mark Wubben,ISC
chalk,5.6.2,NA,MIT,convert-source-map,1.9.0,library,Thorsten Lorenz,MIT
chalk,5.6.2,NA,MIT,currently-unhandled,0.4.1,library,James Talmage,MIT
chalk,5.6.2,NA,MIT,debug,4.4.1,library,Josh Junon,MIT
chalk,5.6.2,NA,MIT,del,6.1.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,emittery,0.8.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,equal-length,1.0.1,library,vdemedes,MIT
chalk,5.6.2,NA,MIT,figures,3.2.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,globby,11.1.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,ignore-by-default,2.1.0,library,Mark Wubben,ISC
chalk,5.6.2,NA,MIT,import-local,3.2.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,indent-string,4.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,is-error,2.2.2,library,Raynos,MIT
chalk,5.6.2,NA,MIT,is-plain-object,5.0.0,library,Jon Schlinkert,MIT
chalk,5.6.2,NA,MIT,is-promise,4.0.0,library,ForbesLindesay,MIT
chalk,5.6.2,NA,MIT,lodash,4.17.21,library,John-David Dalton,MIT
chalk,5.6.2,NA,MIT,matcher,3.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,escape-string-regexp,4.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,md5-hex,3.0.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,mem,8.1.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,ms,2.1.3,library,NA,MIT
chalk,5.6.2,NA,MIT,ora,5.4.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,p-event,4.2.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,p-map,4.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,picomatch,2.3.1,library,Jon Schlinkert,MIT
chalk,5.6.2,NA,MIT,pkg-conf,3.1.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,find-up,3.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,locate-path,3.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,p-locate,3.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,path-exists,3.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,p-limit,2.3.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,plur,4.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,pretty-ms,7.0.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,read-pkg,5.2.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,parse-json,5.2.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,type-fest,0.6.0,library,Sindre Sorhus,NA
chalk,5.6.2,NA,MIT,resolve-cwd,3.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,slash,3.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,source-map-support,0.5.21,library,NA,MIT
chalk,5.6.2,NA,MIT,stack-utils,2.0.6,library,James Talmage,MIT
chalk,5.6.2,NA,MIT,escape-string-regexp,2.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,strip-ansi,6.0.1,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,supertap,2.0.0,library,Vadim Demedes,MIT
chalk,5.6.2,NA,MIT,temp-dir,2.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,trim-off-newlines,1.0.3,library,Steve Mao,MIT
chalk,5.6.2,NA,MIT,update-notifier,5.1.0,library,Sindre Sorhus,BSD-2-Clause
chalk,5.6.2,NA,MIT,write-file-atomic,3.0.3,library,Rebecca Turner,ISC
chalk,5.6.2,NA,MIT,yargs,16.2.0,library,NA,MIT
chalk,5.6.2,NA,MIT,v8-coverage,0.2.3,library,Charles Samborski,MIT
chalk,5.6.2,NA,MIT,schema,0.1.3,library,Corey Farrell,MIT
chalk,5.6.2,NA,MIT,find-up,5.0.0,library,Sindre Sorhus,MIT
chalk,5.6.2,NA,MIT,foreground-child,2.0.0,library,Isaac Z. Schlueter,ISC
chalk,5.6.2,NA,MIT,istanbul-lib-coverage,3.2.2,library,Krishnan Anantheswaran,BSD-3-Clause
