name,version,fixed,cvss,cve,severity
electron,0.4.1,13.6.6,9.8,CVE-2022-21718,LOW
electron,0.4.1,1.6.14,9.8,CVE-2017-16151,CRITICAL
electron,0.4.1,28.3.2,9.8,CVE-2024-46993,MODERATE
electron,0.4.1,6.1.11,9.8,CVE-2020-15096,LOW
electron,0.4.1,15.5.0,9.8,CVE-2022-29257,MODERATE
electron,0.4.1,1.6.8,9.8,CVE-2017-12581,HIGH
electron,0.4.1,22.3.24,9.8,CVE-2023-44402,MODERATE
electron,0.4.1,22.3.19,9.8,CVE-2023-39956,MODERATE
electron,0.4.1,7.2.4,9.8,CVE-2020-4075,MODERATE
electron,0.4.1,1.8.2-beta5,9.8,CVE-2018-1000118,HIGH
electron,0.4.1,0.33.5,9.8,CVE-2016-1202,HIGH
electron,0.4.1,7.2.4,9.8,CVE-2020-4077,HIGH
electron,0.4.1,9.4.0,9.8,CVE-2020-26272,MODERATE
electron,0.4.1,7.2.4,9.8,CVE-2020-4076,HIGH
electron,0.4.1,11.5.0,9.8,CVE-2021-39184,MODERATE
electron,0.4.1,15.5.5,9.8,CVE-2022-29247,LOW
electron,0.4.1,18.3.7,9.8,CVE-2022-36077,MODERATE
electron,0.4.1,22.3.6,9.8,CVE-2023-29198,MODERATE
electron,0.4.1,22.3.25,9.8,CVE-2023-5217,HIGH
electron,0.4.1,35.7.5,9.8,CVE-2025-55305,MODERATE
got,9.6.0,12.1.0,5.3,CVE-2022-33987,MODERATE
