Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
lodash,4.17.21,NA,MIT,async,2.6.3,library,Caolan McMahon,MIT
lodash,4.17.21,NA,MIT,lodash,4.17.14,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,benchmark,2.1.4,library,Mathias Bynens,MIT
lodash,4.17.21,NA,MIT,lodash,4.17.14,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,chalk,1.1.3,library,NA,MIT
lodash,4.17.21,NA,MIT,cheerio,0.22.0,library,Matt Mueller,MIT
lodash,4.17.21,NA,MIT,codecov.io,0.1.6,library,Gregg Caines,MIT
lodash,4.17.21,NA,MIT,request,2.42.0,library,Mikeal Rogers,Apache-2.0
lodash,4.17.21,NA,MIT,coveralls,2.13.3,library,Gregg Caines,BSD-2-Clause
lodash,4.17.21,NA,MIT,js-yaml,3.6.1,library,Vladimir Zapparov,MIT
lodash,4.17.21,NA,MIT,request,2.79.0,library,Mikeal Rogers,Apache-2.0
lodash,4.17.21,NA,MIT,stringstream,0.0.6,library,Michael Hart,MIT
lodash,4.17.21,NA,MIT,aws-sign2,0.6.0,library,Mikeal Rogers,Apache-2.0
lodash,4.17.21,NA,MIT,caseless,0.11.0,library,Mikeal Rogers,Apache-2.0
lodash,4.17.21,NA,MIT,combined-stream,1.0.6,library,Felix Geisendörfer,MIT
lodash,4.17.21,NA,MIT,forever-agent,0.6.1,library,Mikeal Rogers,Apache-2.0
lodash,4.17.21,NA,MIT,form-data,2.1.4,library,Felix Geisendörfer,MIT
lodash,4.17.21,NA,MIT,hawk,3.1.3,library,Eran Hammer,BSD-3-Clause
lodash,4.17.21,NA,MIT,http-signature,1.1.1,library,"Joyent, Inc",MIT
lodash,4.17.21,NA,MIT,mime-types,2.1.18,library,NA,MIT
lodash,4.17.21,NA,MIT,oauth-sign,0.8.2,library,Mikeal Rogers,Apache-2.0
lodash,4.17.21,NA,MIT,qs,6.3.2,library,NA,BSD-3-Clause
lodash,4.17.21,NA,MIT,uuid,3.2.1,library,NA,MIT
lodash,4.17.21,NA,MIT,delayed-stream,1.0.0,library,Felix Geisendörfer,MIT
lodash,4.17.21,NA,MIT,boom,2.10.1,library,NA,BSD-3-Clause
lodash,4.17.21,NA,MIT,cryptiles,2.0.5,library,NA,BSD-3-Clause
lodash,4.17.21,NA,MIT,hoek,2.16.3,library,NA,BSD-3-Clause
lodash,4.17.21,NA,MIT,sntp,1.0.9,library,Eran Hammer,BSD
lodash,4.17.21,NA,MIT,assert-plus,0.2.0,library,Mark Cavage,MIT
lodash,4.17.21,NA,MIT,curl-amd,0.8.12,library,NA,MIT
lodash,4.17.21,NA,MIT,docdown,0.7.3,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash,4.17.14,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,dojo,1.15.0,library,NA,NA
lodash,4.17.21,NA,MIT,ecstatic,2.2.2,library,Joshua Holbrook,MIT
lodash,4.17.21,NA,MIT,fs-extra,1.0.0,library,JP Richardson,MIT
lodash,4.17.21,NA,MIT,glob,7.1.4,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,istanbul,0.4.5,library,Krishnan Anantheswaran,BSD-3-Clause
lodash,4.17.21,NA,MIT,async,1.5.2,library,Caolan McMahon,MIT
lodash,4.17.21,NA,MIT,glob,5.0.15,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,supports-color,3.2.3,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,jquery,3.4.1,library,JS Foundation and other contributors,MIT
lodash,4.17.21,NA,MIT,jscs,3.0.7,library,Marat Dulin,MIT
lodash,4.17.21,NA,MIT,commander,2.9.0,library,TJ Holowaychuk,MIT
lodash,4.17.21,NA,MIT,estraverse,4.2.0,library,NA,BSD-2-Clause
lodash,4.17.21,NA,MIT,glob,5.0.15,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,htmlparser2,3.8.3,library,Felix Boehm,MIT
lodash,4.17.21,NA,MIT,js-yaml,3.4.6,library,Vladimir Zapparov,MIT
lodash,4.17.21,NA,MIT,lodash,3.10.1,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,domhandler,2.3.0,library,Felix Boehm,NA
lodash,4.17.21,NA,MIT,entities,1.0.0,library,Felix Boehm,BSD-like
lodash,4.17.21,NA,MIT,readable-stream,1.1.14,library,Isaac Z. Schlueter,MIT
lodash,4.17.21,NA,MIT,isarray,0.0.1,library,Julian Gruber,MIT
