name,version,fixed,cvss,cve,severity
ajv,6.10.2,6.12.3,5.6,CVE-2020-15366,MODERATE
async,2.6.3,3.2.2,7.8,CVE-2021-43138,HIGH
babel-traverse,6.26.0,NA,9.3,CVE-2023-45133,CRITICAL
bl,0.9.5,1.2.3,6.5,CVE-2020-8244,MODERATE
brace-expansion,1.1.11,2.0.2,3.1,CVE-2025-5889,LOW
braces,1.8.5,2.3.1,7.5,CVE-2018-1109,LOW
braces,1.8.5,2.3.1,7.5,NA,LOW
braces,1.8.5,3.0.3,7.5,CVE-2024-4068,HIGH
chownr,1.0.1,1.1.0,2.5,CVE-2017-18869,LOW
cross-spawn,5.1.0,7.0.5,7.7,CVE-2024-21538,HIGH
css-what,2.1.0,2.1.3,7.5,CVE-2022-21222,HIGH
deep-extend,0.4.2,0.5.1,9.8,CVE-2018-3750,CRITICAL
dojo,1.15.0,1.11.10,7.7,CVE-2020-5258,HIGH
dojo,1.15.0,NA,7.7,CVE-2021-23450,HIGH
ecstatic,2.2.2,4.1.3,NA,CVE-2019-10775,MODERATE
extend,3.0.1,3.0.2,NA,CVE-2018-16492,MODERATE
form-data,0.1.4,2.5.4,9.4,CVE-2025-7783,CRITICAL
form-data,2.1.4,2.5.4,9.4,CVE-2025-7783,CRITICAL
form-data,2.3.3,2.5.4,9.4,CVE-2025-7783,CRITICAL
fsevents,1.2.2,1.2.11,9.8,NA,UNKNOWN
fsevents,1.2.2,1.2.11,9.8,CVE-2023-45311,CRITICAL
handlebars,4.1.2,3.0.8,9.8,NA,HIGH
handlebars,4.1.2,3.0.8,9.8,CVE-2019-20920,HIGH
handlebars,4.1.2,4.4.5,9.8,CVE-2019-20922,HIGH
handlebars,4.1.2,4.7.7,9.8,CVE-2021-23383,CRITICAL
handlebars,4.1.2,4.7.7,9.8,CVE-2021-23369,CRITICAL
handlebars,4.1.2,4.4.5,9.8,NA,MODERATE
handlebars,4.1.2,3.0.8,9.8,NA,HIGH
handlebars,4.1.2,3.0.8,9.8,NA,HIGH
handlebars,4.1.2,4.3.0,9.8,CVE-2019-19919,CRITICAL
hawk,1.1.1,9.0.1,7.5,CVE-2022-29167,HIGH
hawk,1.1.1,4.1.1,7.5,CVE-2016-2515,HIGH
hawk,3.1.3,9.0.1,7.4,CVE-2022-29167,HIGH
hoek,0.9.1,NA,8.8,CVE-2020-36604,HIGH
hoek,0.9.1,5.0.3,8.8,CVE-2018-3728,HIGH
hoek,2.16.3,NA,8.8,CVE-2020-36604,HIGH
hoek,2.16.3,5.0.3,8.8,CVE-2018-3728,HIGH
hosted-git-info,2.6.0,2.8.9,5.3,CVE-2021-23362,MODERATE
i,0.3.6,0.3.7,7.5,CVE-2021-3820,HIGH
ini,1.3.5,1.3.6,7.3,CVE-2020-7788,HIGH
jquery,3.4.1,3.5.0,6.9,CVE-2020-11022,MODERATE
jquery,3.4.1,3.5.0,6.9,CVE-2020-11023,MODERATE
js-yaml,3.4.6,3.13.0,5.9,NA,MODERATE
js-yaml,3.4.6,3.13.1,5.9,NA,HIGH
js-yaml,3.6.1,3.13.0,5.9,NA,MODERATE
js-yaml,3.6.1,3.13.1,5.9,NA,HIGH
json-schema,0.2.3,0.4.0,9.8,CVE-2021-3918,CRITICAL
json5,0.5.1,2.2.2,7.1,CVE-2022-46175,HIGH
jsonpointer,4.0.1,5.0.0,5.6,CVE-2021-23807,MODERATE
kind-of,6.0.2,6.0.3,7.5,CVE-2019-20149,HIGH
loader-utils,0.2.17,2.0.3,9.8,CVE-2022-37601,CRITICAL
lodash,3.10.1,4.17.21,9.1,CVE-2020-28500,MODERATE
lodash,3.10.1,4.17.21,9.1,CVE-2021-23337,HIGH
lodash,3.10.1,4.17.11,9.1,CVE-2018-16487,HIGH
lodash,3.10.1,4.17.5,9.1,CVE-2018-3721,MODERATE
lodash,3.10.1,4.17.12,9.1,CVE-2019-10744,CRITICAL
lodash,3.10.1,4.17.19,9.1,CVE-2020-8203,HIGH
lodash,3.10.1,4.17.11,9.1,CVE-2019-1010266,MODERATE
lodash,4.17.14,4.17.21,7.4,CVE-2020-28500,MODERATE
lodash,4.17.14,4.17.21,7.4,CVE-2021-23337,HIGH
lodash,4.17.14,4.17.19,7.4,CVE-2020-8203,HIGH
lodash,4.17.20,4.17.21,7.2,CVE-2020-28500,MODERATE
lodash,4.17.20,4.17.21,7.2,CVE-2021-23337,HIGH
lodash.pick,4.4.0,NA,7.4,CVE-2020-8203,HIGH
micromatch,2.3.11,4.0.8,5.3,CVE-2024-4067,MODERATE
mime,1.2.11,2.0.3,7.5,CVE-2017-16138,HIGH
minimatch,3.0.4,3.0.5,7.5,CVE-2022-3517,HIGH
minimist,0.0.10,0.2.1,9.8,CVE-2020-7598,MODERATE
minimist,0.0.10,1.2.6,9.8,CVE-2021-44906,CRITICAL
minimist,0.0.8,0.2.1,9.8,CVE-2020-7598,MODERATE
minimist,0.0.8,1.2.6,9.8,CVE-2021-44906,CRITICAL
minimist,1.2.0,0.2.1,9.8,CVE-2020-7598,MODERATE
minimist,1.2.0,1.2.6,9.8,CVE-2021-44906,CRITICAL
nth-check,1.0.1,2.0.1,7.5,CVE-2021-3803,HIGH
path-parse,1.0.5,1.0.7,5.3,CVE-2021-23343,MODERATE
pathval,0.1.1,1.1.1,7.2,CVE-2020-7751,HIGH
qs,1.2.2,6.0.4,7.5,CVE-2017-1000048,HIGH
qs,1.2.2,6.10.3,7.5,CVE-2022-24999,HIGH
qs,6.3.2,6.10.3,7.5,CVE-2022-24999,HIGH
qs,6.5.2,6.10.3,7.5,CVE-2022-24999,HIGH
request,2.42.0,2.68.0,6.1,CVE-2017-16026,MODERATE
request,2.42.0,NA,6.1,CVE-2023-28155,MODERATE
request,2.79.0,NA,6.1,CVE-2023-28155,MODERATE
request,2.88.0,NA,6.1,CVE-2023-28155,MODERATE
requirejs,2.3.6,2.3.7,10.0,CVE-2024-38999,HIGH
semver,5.5.0,7.5.2,7.5,CVE-2022-25883,HIGH
sha.js,2.2.6,2.4.12,9.1,CVE-2025-9288,CRITICAL
tar,4.4.1,3.2.2,8.2,CVE-2021-32804,HIGH
tar,4.4.1,4.4.18,8.2,CVE-2021-37713,HIGH
tar,4.4.1,4.4.16,8.2,CVE-2021-37701,HIGH
tar,4.4.1,6.2.1,8.2,CVE-2024-28863,MODERATE
tar,4.4.1,4.4.2,8.2,CVE-2018-20834,HIGH
tar,4.4.1,4.4.18,8.2,CVE-2021-37712,HIGH
tar,4.4.1,3.2.3,8.2,CVE-2021-32803,HIGH
tough-cookie,2.3.4,4.1.3,6.5,CVE-2023-26136,MODERATE
tough-cookie,2.4.3,4.1.3,6.5,CVE-2023-26136,MODERATE
tunnel-agent,0.4.3,0.6.0,NA,NA,MODERATE
underscore,1.6.0,1.12.1,9.8,CVE-2021-23358,CRITICAL
