Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
mongoose,8.18.1,Guillermo Rauch,MIT,core,7.28.3,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,preset-env,7.28.3,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,mongodb-downloader,0.4.2,library,MongoDB Inc,Apache-2.0
mongoose,8.18.1,Guillermo Rauch,MIT,eslint-plugin,8.43.0,library,NA,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,parser,8.43.0,library,NA,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,acquit-ignore,0.2.1,library,Valeri Karpov,Apache 2.0
mongoose,8.18.1,Guillermo Rauch,MIT,acquit-require,0.1.1,library,Valeri Karpov,Apache 2.0
mongoose,8.18.1,Guillermo Rauch,MIT,acquit,1.4.0,library,Valeri Karpov,Apache-2.0
mongoose,8.18.1,Guillermo Rauch,MIT,ajv,8.17.1,library,Evgeny Poberezkin,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,assert-browserify,2.0.0,library,NA,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,babel-loader,8.2.5,library,Luis Couto,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,broken-link-checker,0.7.8,library,Steven Vachon,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,bson,6.10.4,library,The MongoDB NodeJS Team,Apache-2.0
mongoose,8.18.1,Guillermo Rauch,MIT,buffer,5.7.1,library,Feross Aboukhadijeh,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,cheerio,1.1.2,library,Matt Mueller,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,parse5,7.3.0,library,Ivan Nikulin,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,entities,6.0.1,library,Felix Boehm,BSD-2-Clause
mongoose,8.18.1,Guillermo Rauch,MIT,crypto-browserify,3.12.1,library,Dominic Tarr,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,dox,1.0.0,library,TJ Holowaychuk,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,commander,9.4.0,library,TJ Holowaychuk,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,eslint-plugin-markdown,5.1.0,library,Brandon Mills,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,eslint-plugin-mocha-no-only,1.2.0,library,Anthony Jean,ISC
mongoose,8.18.1,Guillermo Rauch,MIT,eslint,8.57.1,library,Nicholas C. Zakas,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,ajv,6.12.6,library,Evgeny Poberezkin,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,chalk,4.1.2,library,NA,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,escape-string-regexp,4.0.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,ignore,5.3.2,library,kael,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,minimatch,3.1.2,library,Isaac Z. Schlueter,ISC
mongoose,8.18.1,Guillermo Rauch,MIT,strip-ansi,6.0.1,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,json-schema-traverse,0.4.1,library,Evgeny Poberezkin,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,ansi-styles,4.3.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,supports-color,7.2.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,brace-expansion,1.1.12,library,Julian Gruber,MIT
