Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
socket.io,4.8.1,NA,MIT,core,7.24.7,library,The Babel Team,MIT
socket.io,4.8.1,NA,MIT,plugin-transform-object-assign,7.24.7,library,The Babel Team,MIT
socket.io,4.8.1,NA,MIT,preset-env,7.24.7,library,The Babel Team,MIT
socket.io,4.8.1,NA,MIT,register,7.24.6,library,The Babel Team,MIT
socket.io,4.8.1,NA,MIT,webtransport-transport-http3-quiche,1.1.4,library,Marten Richter,BSD-3-Clause
socket.io,4.8.1,NA,MIT,webtransport,1.1.4,library,Marten Richter,BSD-3-Clause
socket.io,4.8.1,NA,MIT,plugin-alias,5.1.0,library,Johannes Stein,MIT
socket.io,4.8.1,NA,MIT,slash,4.0.0,library,Sindre Sorhus,MIT
socket.io,4.8.1,NA,MIT,plugin-babel,6.0.4,library,Rich Harris,MIT
socket.io,4.8.1,NA,MIT,plugin-commonjs,26.0.1,library,Rich Harris,MIT
socket.io,4.8.1,NA,MIT,glob,10.4.5,library,Isaac Z. Schlueter,ISC
socket.io,4.8.1,NA,MIT,foreground-child,3.2.1,library,Isaac Z. Schlueter,ISC
socket.io,4.8.1,NA,MIT,jackspeak,3.4.2,library,Isaac Z. Schlueter,BlueOak-1.0.0
socket.io,4.8.1,NA,MIT,minimatch,9.0.5,library,Isaac Z. Schlueter,ISC
socket.io,4.8.1,NA,MIT,path-scurry,1.11.1,library,Isaac Z. Schlueter,BlueOak-1.0.0
socket.io,4.8.1,NA,MIT,signal-exit,4.1.0,library,Ben Coe,ISC
socket.io,4.8.1,NA,MIT,brace-expansion,2.0.1,library,Julian Gruber,MIT
socket.io,4.8.1,NA,MIT,lru-cache,10.4.2,library,Isaac Z. Schlueter,ISC
socket.io,4.8.1,NA,MIT,plugin-node-resolve,15.2.3,library,Rich Harris,MIT
socket.io,4.8.1,NA,MIT,fake-timers,11.2.2,library,Christian Johansen,BSD-3-Clause
socket.io,4.8.1,NA,MIT,cluster-engine,0.1.0,library,NA,MIT
socket.io,4.8.1,NA,MIT,component-emitter,3.1.2,library,NA,MIT
socket.io,4.8.1,NA,MIT,postgres-adapter,0.1.1,library,NA,MIT
socket.io,4.8.1,NA,MIT,msgpack,2.7.2,library,The MessagePack community,ISC
socket.io,4.8.1,NA,MIT,socket.io-adapter,2.3.3,library,NA,MIT
