Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
jest,30.1.3,NA,NA,core,7.27.4,library,The Babel Team,MIT
jest,30.1.3,NA,NA,plugin-transform-modules-commonjs,7.27.1,library,The Babel Team,MIT
jest,30.1.3,NA,NA,preset-env,7.27.2,library,The Babel Team,MIT
jest,30.1.3,NA,NA,preset-react,7.27.1,library,The Babel Team,MIT
jest,30.1.3,NA,NA,preset-typescript,7.27.1,library,The Babel Team,MIT
jest,30.1.3,NA,NA,register,7.27.1,library,The Babel Team,MIT
jest,30.1.3,NA,NA,cli,4.7.0,library,Crowdin,MIT
jest,30.1.3,NA,NA,yarn-plugin-cyclonedx,3.1.1,library,Jan Kowalleck,Apache-2.0
jest,30.1.3,NA,NA,eslint-plugin-eslint-comments,4.5.0,library,Toru Nagashima,MIT
jest,30.1.3,NA,NA,js,9.28.0,library,NA,MIT
jest,30.1.3,NA,NA,markdown,6.4.0,library,Brandon Mills,MIT
jest,30.1.3,NA,NA,globals,30.1.2,library,NA,MIT
jest,30.1.3,NA,NA,test-utils,30.1.2,library,NA,NA
jest,30.1.3,NA,NA,cli,4.3.0,library,Ghislain B.,MIT
jest,30.1.3,NA,NA,exec,4.3.0,library,Ghislain B.,MIT
jest,30.1.3,NA,NA,publish,4.3.0,library,Ghislain B.,MIT
jest,30.1.3,NA,NA,api-extractor,7.52.8,library,NA,MIT
jest,30.1.3,NA,NA,node18,18.2.4,library,NA,MIT
jest,30.1.3,NA,NA,babel__core,7.20.5,library,NA,MIT
jest,30.1.3,NA,NA,babel__generator,7.27.0,library,NA,MIT
jest,30.1.3,NA,NA,babel__template,7.4.4,library,NA,MIT
jest,30.1.3,NA,NA,node,18.14.6,library,NA,MIT
jest,30.1.3,NA,NA,which,3.0.4,library,NA,MIT
jest,30.1.3,NA,NA,types,4.0.1,library,NA,BSD-2-Clause
jest,30.1.3,NA,NA,ansi-regex,5.0.1,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,ansi-styles,5.2.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,babel-jest,30.1.2,library,NA,MIT
jest,30.1.3,NA,NA,babel-loader,9.2.1,library,Luis Couto,MIT
jest,30.1.3,NA,NA,camelcase,6.3.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,chalk,4.1.2,library,NA,MIT
jest,30.1.3,NA,NA,dedent,1.6.0,library,Desmond Brand,MIT
jest,30.1.3,NA,NA,eslint-config-prettier,10.1.5,library,Simon Lydell,MIT
jest,30.1.3,NA,NA,eslint-import-resolver-typescript,4.4.2,library,Alex Gorbatchev,ISC
jest,30.1.3,NA,NA,eslint-plugin-import-x,4.15.0,library,JounQin,MIT
jest,30.1.3,NA,NA,eslint-plugin-jest,28.12.0,library,Jonathan Kim,MIT
jest,30.1.3,NA,NA,eslint-plugin-jsdoc,50.7.1,library,Gajus Kuizinas,BSD-3-Clause
jest,30.1.3,NA,NA,eslint-plugin-prettier,5.4.1,library,Teddy Katz,MIT
jest,30.1.3,NA,NA,eslint-plugin-promise,7.2.1,library,jden,ISC
jest,30.1.3,NA,NA,eslint-plugin-unicorn,59.0.1,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,eslint,9.28.0,library,Nicholas C. Zakas,MIT
jest,30.1.3,NA,NA,execa,5.1.1,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,find-process,1.4.10,library,zoujie,MIT
jest,30.1.3,NA,NA,glob,10.4.5,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,globals,16.2.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,graceful-fs,4.2.11,library,NA,ISC
jest,30.1.3,NA,NA,isbinaryfile,5.0.4,library,NA,MIT
jest,30.1.3,NA,NA,istanbul-lib-coverage,3.2.2,library,Krishnan Anantheswaran,BSD-3-Clause
jest,30.1.3,NA,NA,istanbul-lib-report,3.0.1,library,Krishnan Anantheswaran,BSD-3-Clause
jest,30.1.3,NA,NA,istanbul-reports,3.1.7,library,Krishnan Anantheswaran,BSD-3-Clause
jest,30.1.3,NA,NA,jest-changed-files,30.0.5,library,NA,MIT
jest,30.1.3,NA,NA,jest-junit,16.0.0,library,Jason Palmer,Apache-2.0
jest,30.1.3,NA,NA,jest-mock,30.0.5,library,NA,MIT
jest,30.1.3,NA,NA,jest-serializer-ansi-escapes,3.0.0,library,NA,MIT
jest,30.1.3,NA,NA,jest-silent-reporter,0.6.0,library,rickhanlonii,MIT
jest,30.1.3,NA,NA,jest-snapshot,30.1.2,library,NA,MIT
jest,30.1.3,NA,NA,jest-util,30.0.5,library,NA,MIT
jest,30.1.3,NA,NA,jest-watch-typeahead,2.2.2,library,Rogelio Guzman,MIT
jest,30.1.3,NA,NA,jest,30.1.3,library,NA,MIT
jest,30.1.3,NA,NA,jquery,3.7.1,library,OpenJS Foundation and other contributors,MIT
jest,30.1.3,NA,NA,js-yaml,4.1.0,library,Vladimir Zapparov,MIT
jest,30.1.3,NA,NA,micromatch,4.0.8,library,Jon Schlinkert,MIT
jest,30.1.3,NA,NA,mock-fs,5.5.0,library,Tim Schaub,MIT
jest,30.1.3,NA,NA,netlify-plugin-cache,1.0.3,library,Jake Jarvis,MIT
jest,30.1.3,NA,NA,node-notifier,10.0.1,library,Mikael Brevik,MIT
jest,30.1.3,NA,NA,p-limit,3.1.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,pkg-dir,5.0.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,prettier,3.5.3,library,James Long,MIT
jest,30.1.3,NA,NA,promise,8.3.0,library,ForbesLindesay,MIT
jest,30.1.3,NA,NA,read-pkg,5.2.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,resolve,1.22.10,library,James Halliday,MIT
jest,30.1.3,NA,NA,rimraf,5.0.10,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,semver,7.7.2,library,GitHub Inc.,ISC
jest,30.1.3,NA,NA,slash,3.0.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,strip-json-comments,3.1.1,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,tempy,1.0.1,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,ts-node,10.9.2,library,Blake Embrey,MIT
jest,30.1.3,NA,NA,tstyche,4.0.0,library,NA,MIT
jest,30.1.3,NA,NA,typescript-eslint,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,typescript,5.5.4,library,Microsoft Corp.,Apache-2.0
jest,30.1.3,NA,NA,webpack-node-externals,3.0.0,library,Liad Yosef,MIT
jest,30.1.3,NA,NA,webpack,5.99.9,library,Tobias Koppers @sokra,MIT
jest,30.1.3,NA,NA,which,4.0.0,library,GitHub Inc.,ISC
jest,30.1.3,NA,NA,isexe,3.1.1,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,eslint-scope,3.7.7,library,NA,MIT
jest,30.1.3,NA,NA,estree,1.0.7,library,NA,MIT
jest,30.1.3,NA,NA,json-schema,7.0.15,library,NA,MIT
jest,30.1.3,NA,NA,ast,1.14.1,library,Sven Sauleau,MIT
